dist_id,total_population,deaths,injured,mmi_max_dist,casualty,predicted,predicted_rate,predicted_den,index_cnt,index_rate,index_den,wpredicted,index_roof,index_wall
43,113614,0,7,5.0047447467,7,1.7524623561,0.0154247043,0.0007670277,6.2,6.1,5.8,0.0138336241,6.1,2.5
44,146590,0,11,5.1788540006,11,0.0926501674,0.0006320361,0.0001710769,4.6,4.5,5.1,0.3305401989,2.8,8.4
45,268613,0,6,4.9077018905,6,0.2544679,0.0009473402,0.0001386321,5.1,4.7,5,0.1499217856,4.3,8.9
46,280160,0,6,4.9491752406,6,0.1106371668,0.0003949071,0.0000998729,4.7,4.2,4.8,0.1002207558,3.4,8.4
47,643508,0,15,5.376679637,15,0.2195979888,0.0003412514,0.000150214,5.1,4.2,5,0.122367822,3.3,8.2
48,643508,1,13,6.5451884013,14,13.570773423,0.0210887408,0.0063386775,7.3,6.3,6.8,0.6183066557,6,6.8
49,880196,0,30,6.0018836106,30,3.2499656175,0.0036923204,0.0025067254,6.6,5.4,6.4,0.2671493093,5.2,7.7
50,571936,0,3,5.6469873372,3,0.6557437141,0.0011465334,0.0003971404,5.7,4.8,5.5,0.131274406,4.1,7.3
51,197632,0,2,3.5,2,0.003782628,0.0000191398,3.0528119E-6,2.8,2.7,3.1,0.000998397,4.3,8.1
52,36700,0,7,4.5669370193,7,0.0056435083,0.0001537741,4.2724708E-6,3,3.8,3.3,0.2060132945,1.2,8.4
53,136948,1,5,4.4365860568,6,0.0632857372,0.0004621151,0.000033565,4.4,4.3,4.3,0.0371973959,4,8.2
54,108921,1,1,4.3515458039,2,0.2786608771,0.002558376,0.0000962108,5.2,5.2,4.8,0.0981638264,5.7,9.3
55,228102,0,2,4.2000345069,2,0.3840756256,0.0016837889,0.0002011623,5.4,5,5.2,0.0405933789,6.5,9.5
56,55286,0,3,4.922266281,3,0.3891128115,0.0070381799,0.0001283504,5.4,5.7,4.9,0.1929376261,4.7,7.5
57,491313,0,0,4.5825065624,0,0.102527391,0.0002086804,0.0000545218,4.6,3.9,4.5,0.0095512037,4.1,7.2
58,426576,0,2,3.7171863957,2,0.0032932876,7.7202833E-6,1.6693692E-6,2.7,2.2,2.8,0.0003241057,3.3,6
59,350804,0,3,3.7562863672,3,0.00717553,0.0000204545,2.8834529E-6,3.2,2.7,3.1,0.0029771976,4,8.8
