p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-JAN-18-022,6.61,9958,5.6,6.8,8
C-JAN-18-023,6.77,6902,5.7,7.1,8.1
C-JAN-18-024,6.62,5939,5.7,7.1,8.2
C-JAN-18-025,7.07,7170,5.9,7.3,8.1
C-JAN-18-026,6.84,5250,5.8,7.3,8.4
C-JAN-18-027,7.53,6321,6.2,7.6,7.6
C-JAN-18-028,7.05,17086,5.9,6.8,8
C-JAN-18-029,6.72,7156,5.7,7.1,8.1
C-JAN-18-030,6.66,6033,5.7,7.1,8.3
C-JAN-18-031,6.85,6683,5.8,7.2,8
C-JAN-18-032,7.07,5316,5.9,7.4,7.7
C-JAN-18-033,6.92,6828,5.8,7.2,8
C-JAN-18-034,6.62,23533,5.7,6.4,7.8
C-JAN-18-035,6.99,9140,5.9,7.1,7.9
C-JAN-18-036,7.86,8719,6.3,7.5,7.5
C-JAN-18-037,6.94,7327,5.8,7.2,8
C-JAN-18-038,6.79,10159,5.8,6.9,7.9
C-JAN-18-039,6.95,8121,5.8,7.1,7.8
C-JAN-18-040,6.66,8346,5.7,7,8.2
C-JAN-18-041,7.12,10920,5.9,7.1,7.6
C-JAN-18-042,6.87,8246,5.8,7.1,8.2
C-JAN-18-043,6.79,5601,5.8,7.2,8.2
C-JAN-18-044,6.67,10576,5.7,6.9,8
C-JAN-18-045,7.51,10022,6.1,7.3,7.4
C-JAN-18-046,6.63,6675,5.7,7.1,8.1
C-JAN-18-047,6.72,6925,5.7,7.1,8.3
C-JAN-18-048,6.57,9664,5.6,6.8,8.5
C-JAN-18-049,6.95,6077,5.8,7.3,8.2
C-JAN-18-050,6.58,8403,5.6,6.9,8.1
C-JAN-18-051,7.03,7814,5.9,7.2,8
C-JAN-18-052,6.77,6818,5.7,7.1,8.5
C-JAN-18-053,6.91,11394,5.8,6.9,8.4
C-JAN-18-054,6.55,3612,5.6,7.3,8.3
C-JAN-18-055,6.91,4941,5.8,7.4,8.3
C-JAN-18-056,6.6,3593,5.6,7.4,8.6
C-JAN-18-057,6.66,9373,5.7,6.9,8.1
C-JAN-18-058,6.81,5270,5.8,7.3,8.5
C-JAN-18-059,6.93,6307,5.8,7.3,8.2
C-JAN-18-060,6.89,12037,5.8,6.9,7.9
C-JAN-18-061,7.09,7211,5.9,7.3,7.9
C-JAN-18-062,6.78,5848,5.7,7.2,8.1
C-JAN-18-063,6.82,7398,5.8,7.1,8.1
C-JAN-18-064,6.65,5768,5.7,7.2,8.1
C-JAN-18-065,6.7,4483,5.7,7.3,8.2
C-JAN-18-066,6.81,9876,5.8,7,8.2
C-JAN-18-067,6.86,8237,5.8,7.1,8.6
C-JAN-18-068,7,11543,5.9,7,8.2
C-JAN-18-069,6.59,5137,5.6,7.2,8.3
C-JAN-18-070,6.92,8274,5.8,7.1,8.1
C-JAN-18-071,6.7,7664,5.7,7,8.2
C-JAN-18-072,6.99,9122,5.9,7.1,8.3
C-JAN-18-073,6.98,8973,5.9,7.1,8
C-JAN-18-074,6.78,4195,5.7,7.4,8.3
C-JAN-18-075,6.54,6798,5.6,7,8.4
C-JAN-18-076,7.03,14178,5.9,6.9,7.8
C-JAN-18-077,6.88,13081,5.8,6.9,7.6
C-JAN-19-001,6.66,3870,6,7.6,8.5
C-JAN-19-002,6.67,3974,6,7.6,8.8
C-JAN-19-003,7.45,6471,6.4,7.8,8.1
C-JAN-19-004,6.96,7167,6.2,7.5,8.7
C-JAN-19-005,7.09,11896,6.2,7.3,8.6
C-JAN-19-006,6.82,6793,6.1,7.4,8.5
C-JAN-19-007,6.67,2018,6,8,8.8
C-JAN-19-008,6.64,7646,6,7.3,8.5
C-JAN-19-009,7.14,5000,6.3,7.8,8.3
C-JAN-19-010,6.74,18151,6,6.9,8.5
C-JAN-19-011,7.1,12338,6.2,7.3,8.4
C-JAN-19-012,6.8,4881,6.1,7.6,8.6
C-JAN-19-013,7.14,4683,6.3,7.8,8.6
C-JAN-19-014,6.91,3555,6.1,7.8,8.9
C-JAN-19-015,6.81,5798,6.1,7.5,8.5
C-JAN-19-016,6.77,3972,6,7.7,9
C-JAN-19-017,6.76,4322,6,7.6,8.7
C-JAN-19-018,7.2,14794,6.3,7.2,7.7
C-JAN-19-019,6.9,3403,6.1,7.8,8.8
C-JAN-19-020,6.98,8556,6.2,7.4,8.5
C-JAN-19-021,7.05,9046,6.2,7.4,8.3
C-JAN-19-022,6.85,6458,6.1,7.5,8.1
C-JAN-19-023,6.64,3318,6,7.7,8.3
C-JAN-19-024,7.05,4142,6.2,7.8,8.5
C-JAN-19-025,6.88,7906,6.1,7.4,8.4
C-JAN-19-026,6.92,7200,6.1,7.5,8.6
C-JAN-19-027,7.37,13500,6.4,7.4,8
C-JAN-19-028,7.4,9565,6.4,7.6,8.3
C-JAN-19-029,6.67,4658,6,7.6,8.7
C-JAN-19-030,7.13,6296,6.2,7.6,8.6
C-JAN-19-031,6.8,3722,6.1,7.7,8.9
C-JAN-19-032,6.72,6663,6,7.4,8.6
C-JAN-19-033,6.92,7359,6.1,7.5,8.5
C-JAN-19-034,6.81,6680,6.1,7.4,8.7
C-JAN-19-035,7.18,14087,6.3,7.3,7.8
C-JAN-19-036,7.07,16336,6.2,7.1,8
C-JAN-19-037,6.86,5657,6.1,7.6,8.5
C-JAN-19-038,7.27,11444,6.3,7.4,8.5
C-JAN-19-039,7.03,15798,6.2,7.1,8.4
C-JAN-19-040,7.38,20350,6.4,7.2,8.2
C-JAN-19-041,6.62,8560,6,7.2,8.3
C-JAN-19-042,7.05,7434,6.2,7.5,8.5
C-JAN-19-043,7.22,21034,6.3,7.1,8.2
C-JAN-19-044,7.27,8771,6.3,7.5,8.3
C-JAN-19-045,7.05,7834,6.2,7.5,8.4
C-JAN-19-046,7.21,8090,6.3,7.6,7.9
C-JAN-19-047,7,4284,6.2,7.8,8.6
C-JAN-19-048,7.08,11960,6.2,7.3,8.3
C-JAN-19-049,7.78,5388,6.6,8,8.1
C-JAN-19-050,7.39,9114,6.4,7.6,8
C-JAN-19-051,6.69,11819,6,7.1,8.2
C-JAN-19-052,6.91,4711,6.1,7.7,8.8
C-JAN-19-053,6.8,4893,6.1,7.6,8.6
C-JAN-19-054,7.11,5506,6.2,7.7,8.4
C-JAN-19-055,6.85,7546,6.1,7.4,8.4
C-JAN-19-056,7.39,14583,6.4,7.3,8.5
C-JAN-19-057,6.99,6737,6.2,7.5,8.3
C-JAN-19-058,7.2,9697,6.3,7.5,8.5
C-JAN-19-059,6.83,5760,6.1,7.5,9
C-JAN-19-060,6.77,5942,6,7.5,8.6
C-JAN-19-061,6.67,4258,6,7.6,8.8
C-JAN-19-062,6.86,3588,6.1,7.8,9
C-JAN-19-063,6.92,4584,6.1,7.7,8.9
C-JAN-19-064,6.92,25102,6.1,6.8,8.4
C-JAN-19-065,6.91,8891,6.1,7.4,8.2
C-JAN-19-066,6.67,4588,6,7.6,8.9
C-JAN-19-067,7.04,6880,6.2,7.6,8.4
C-JAN-19-068,6.88,4083,6.1,7.7,8.7
C-JAN-19-069,7.13,9200,6.2,7.4,8.3
C-JAN-19-070,6.85,5190,6.1,7.6,8.8
C-JAN-19-071,7.88,4311,6.6,8.2,8.1
C-JAN-19-072,6.96,3489,6.2,7.9,8.9
C-JAN-19-073,7.4,10223,6.4,7.5,8.3
C-JAN-19-074,7.03,13087,6.2,7.2,8.1
C-JAN-19-075,6.98,6337,6.2,7.6,8.6
C-JAN-19-076,7.9,8500,6.6,7.9,7.8
C-JAN-19-077,7.44,7431,6.4,7.7,8
C-JAN-19-078,7.14,5557,6.3,7.7,8.7
C-JAN-19-079,6.94,4967,6.1,7.7,8.7
C-JAN-19-080,7.09,6991,6.2,7.6,8.7
C-JAN-19-081,7.18,10186,6.3,7.4,8.1
C-JAN-19-082,6.78,4950,6.1,7.6,8.7
C-JAN-19-083,6.7,6670,6,7.4,8.7
C-JAN-19-084,7.29,5576,6.3,7.8,8.4
C-JAN-19-085,6.73,3102,6,7.8,8.9
C-JAN-19-086,6.77,4974,6,7.6,8.6
C-JAN-19-087,6.96,8117,6.2,7.4,8.6
C-JAN-19-088,6.98,7540,6.2,7.5,8.7
C-JAN-19-089,7.21,8740,6.3,7.5,8.2
C-JAN-19-090,7.43,6397,6.4,7.8,8.5
C-JAN-19-091,7.04,4804,6.2,7.7,8.5
C-JAN-19-092,6.82,4943,6.1,7.6,8.5
C-JAN-19-093,6.8,8925,6.1,7.3,8.3
C-JAN-19-094,6.87,9766,6.1,7.3,8.5
C-JAN-19-095,6.78,7967,6.1,7.3,8.5
C-JAN-19-096,6.94,4074,6.1,7.8,8.8
C-JAN-19-097,6.64,4188,6,7.6,8.8
C-JAN-19-098,6.9,7552,6.1,7.4,8.7
C-JAN-19-099,6.98,10861,6.2,7.3,8.1
C-JAN-19-100,6.89,3605,6.1,7.8,9.1
C-JAN-20-001,8.32,2261,7.2,9,8.6
C-JAN-20-002,5.9,5766,5.8,7.3,7.4
C-JAN-20-003,6.12,3116,6,7.7,7.9
C-JAN-20-004,6.42,4358,6.2,7.8,7.8
C-JAN-20-005,7.19,3200,6.6,8.3,8.3
C-JAN-20-006,8.15,3029,7.1,8.8,8.7
C-JAN-20-007,6.87,3846,6.4,8.1,8
C-JAN-20-008,8.03,4415,7,8.6,8.4
C-JAN-20-009,7.35,2298,6.7,8.6,8.7
C-JAN-20-010,7.04,5780,6.5,7.9,8
C-JAN-20-011,6.82,2039,6.4,8.4,8.4
C-JAN-20-012,6.59,1942,6.3,8.3,8.1
C-JAN-20-013,8.6,4804,7.3,8.8,8.4
C-JAN-20-014,6.45,2860,6.2,8,7.8
C-JAN-20-015,6.51,8568,6.2,7.5,8.1
C-JAN-20-016,8.23,4744,7.1,8.6,8.4
C-JAN-20-017,6.35,4693,6.1,7.7,8
C-JAN-20-018,6.51,8106,6.2,7.5,7.7
C-JAN-20-019,7.51,1806,6.8,8.8,9
C-JAN-20-020,6.47,7310,6.2,7.5,7.7
C-JAN-20-021,7.99,5337,7,8.4,8.6
C-JAN-20-022,5.93,5270,5.8,7.4,7.4
C-JAN-20-023,6.16,5487,6,7.5,7.3
C-JAN-20-024,8.49,9370,7.3,8.4,8.1
C-JAN-20-025,8.04,39413,7,7.4,7.7
C-JAN-20-026,8.54,11485,7.3,8.3,8.3
C-JAN-20-027,6.01,2831,5.9,7.7,7.8
C-JAN-20-028,6.12,2829,6,7.8,7.8
C-JAN-20-029,7.95,4973,7,8.5,8.5
C-JAN-20-030,8.15,9364,7.1,8.2,8
C-JAN-20-031,6.52,7226,6.2,7.6,7.9
C-JAN-20-032,6.36,5942,6.1,7.6,7.8
C-JAN-20-033,5.97,3879,5.9,7.5,7.5
C-JAN-20-034,8.63,6967,7.3,8.6,8.6
C-JAN-20-035,8.15,6015,7.1,8.5,8.2
C-JAN-20-036,7.82,2398,6.9,8.8,8.7
C-JAN-20-037,8.21,3400,7.1,8.8,8.8
C-JAN-20-038,6.5,3418,6.2,7.9,8.2
C-JAN-20-039,7.94,7604,7,8.2,8.2
C-JAN-20-040,8.01,4707,7,8.5,8.6
C-JAN-20-041,6.91,5067,6.5,7.9,7.9
C-JAN-20-042,7.73,8881,6.9,8.1,8
C-JAN-20-043,7.32,2821,6.7,8.5,8.4
C-JAN-20-044,5.82,2745,5.8,7.6,7.4
C-JAN-20-045,8.35,2725,7.2,8.9,8.8
C-JAN-20-046,6.36,7618,6.1,7.4,7.6
C-JAN-20-047,7.85,4058,6.9,8.5,8.7
C-JAN-20-048,5.81,2195,5.8,7.7,7.5
C-JAN-20-049,6.32,2489,6.1,8,7.9
C-JAN-20-050,8.16,2346,7.1,8.9,8.6
C-JAN-20-051,6.47,9150,6.2,7.4,7.8
C-JAN-20-052,7.05,4169,6.5,8.1,8.1
C-JAN-20-053,6.19,1979,6,8,8.1
C-JAN-20-054,6.11,4074,6,7.6,7.5
C-JAN-21-001,6.26,3144,7.6,9.2,9.3
C-JAN-21-002,6.79,4483,7.9,9.4,9.7
C-JAN-21-003,7.86,4634,8.5,9.9,10
C-JAN-21-004,7.77,2475,8.4,10,10
C-JAN-21-005,7.58,3936,8.3,9.8,9.9
C-JAN-21-006,7.92,3253,8.5,10,10
C-JAN-21-007,6.39,2402,7.7,9.5,9.5
C-JAN-21-008,6.55,5058,7.8,9.2,9.4
C-JAN-21-009,7.34,2366,8.2,10,10
C-JAN-21-010,7.22,3187,8.1,9.8,10
C-JAN-21-011,6.67,2629,7.8,9.6,8.9
C-JAN-21-012,7.72,4730,8.4,9.8,9.9
C-JAN-21-013,6.59,3257,7.8,9.4,9.6
C-JAN-21-014,7.82,3073,8.5,10,10
C-JAN-21-015,7.71,3273,8.4,10,10
C-JAN-21-016,6.52,3023,7.7,9.4,9.3
C-JAN-21-017,6.94,2098,8,9.8,9.9
C-JAN-21-018,7.27,5652,8.2,9.5,9.7
C-JAN-21-019,7.71,3632,8.4,9.9,9.8
C-JAN-21-020,6.55,2401,7.8,9.6,9.8
C-JAN-21-021,6.44,2466,7.7,9.5,8.1
C-JAN-21-022,7.81,4702,8.5,9.8,10
C-JAN-21-023,6.54,1769,7.8,9.7,9.4
C-JAN-21-024,7.79,3031,8.4,10,10
C-JAN-21-025,6.45,4248,7.7,9.2,9.2
C-JAN-21-026,6.95,4716,8,9.4,9.6
C-JAN-21-027,7.82,3925,8.5,9.9,10
C-JAN-21-028,7.84,4065,8.5,9.9,10
C-JAN-21-029,6.97,4278,8,9.5,9.7
C-JAN-21-030,6.32,2727,7.6,9.4,9.4
C-JAN-21-031,7.8,6209,8.4,9.7,10
C-JAN-21-032,7.93,2293,8.5,10,10
C-JAN-21-033,7.85,1911,8.5,10,10
C-JAN-21-034,7.45,3496,8.3,9.8,9.7
C-JAN-21-035,7.12,7569,8.1,9.3,10
C-JAN-21-036,6.72,3679,7.9,9.4,9.7
C-JAN-21-037,6.79,3981,7.9,9.4,9.5
C-JAN-21-038,6.57,3503,7.8,9.4,9.4
C-JAN-21-039,7.72,6392,8.4,9.6,9.9
C-JAN-21-040,7.48,5733,8.3,9.6,9.9
C-JAN-21-041,7.6,2078,8.3,10,10
C-JAN-21-042,6.6,5093,7.8,9.2,9.2
C-JAN-21-043,7.44,3008,8.3,9.9,10
C-JAN-21-044,7.93,3434,8.5,10,10
C-JAN-21-045,7.09,5222,8.1,9.4,9.5
C-JAN-21-046,6.63,4101,7.8,9.3,9.2
C-JAN-21-047,6.75,4424,7.9,9.3,9.4
C-JAN-21-048,6.49,2876,7.7,9.4,9.6
C-JAN-21-049,6.75,3612,7.9,9.5,9.6
C-JAN-21-050,6.41,2342,7.7,9.5,9.8
C-JAN-21-051,6.82,3538,7.9,9.5,9.5
C-JAN-21-052,6.85,2141,7.9,9.8,9.9
C-JAN-21-053,6.64,2443,7.8,9.6,9.4
C-JAN-21-054,6.95,4195,8,9.5,9.9
C-JAN-21-055,7.71,3517,8.4,9.9,10
C-JAN-22-001,7.25,1803,9.2,10,10
C-JAN-22-002,7.3,3533,9.2,10,10
C-JAN-22-003,7.52,3705,9.3,10,10
C-JAN-22-004,7.57,22537,9.4,9.9,10
C-JAN-22-005,7.35,2562,9.3,10,10
C-JAN-22-006,7.59,2091,9.4,10,10
C-JAN-22-007,7.38,1612,9.3,10,10
C-JAN-22-008,7.47,2799,9.3,10,10
C-JAN-22-009,7.16,2043,9.1,10,10
C-JAN-22-010,6.91,1272,9,10,10
C-JAN-22-011,7.39,2447,9.3,10,10
C-JAN-22-012,7.36,2875,9.3,10,10
C-JAN-22-013,6.94,2733,9,10,10
C-JAN-22-014,7.69,4136,9.4,10,10
C-JAN-22-015,7.61,2450,9.4,10,10
C-JAN-22-016,7.59,4338,9.4,10,10
C-JAN-22-017,7.44,4278,9.3,10,10
C-JAN-22-018,7.06,975,9.1,10,9.3
C-JAN-22-019,7.58,4230,9.4,10,10
C-JAN-22-020,7.11,1721,9.1,10,10
C-JAN-22-021,7.22,3784,9.2,10,10
C-JAN-22-022,7.11,2241,9.1,10,10
C-JAN-22-023,7.14,4637,9.1,10,10
C-JAN-22-024,6.93,7373,9,10,10
C-JAN-22-025,7.28,3882,9.2,10,10
C-JAN-22-026,7.21,4723,9.2,10,10
C-JAN-22-027,7.42,2806,9.3,10,10
C-JAN-22-028,7.63,3738,9.4,10,10
C-JAN-22-029,7.1,1833,9.1,10,9.9
C-JAN-22-030,7.32,2198,9.2,10,10
C-JAN-22-031,7.36,3663,9.3,10,10
C-JAN-22-032,7.61,3713,9.4,10,10
C-JAN-22-033,7.29,2098,9.2,10,9.3
C-JAN-22-034,7.34,4232,9.2,10,10
C-JAN-22-035,7.38,4942,9.3,10,10
C-JAN-22-036,7.77,2950,9.5,10,10
C-JAN-22-037,6.77,2749,8.9,10,10
C-JAN-22-038,7.16,2482,9.1,10,10
C-JAN-22-039,6.77,1409,8.9,10,9.7
C-JAN-22-040,7.42,3566,9.3,10,10
C-JAN-22-041,7.22,3482,9.2,10,10
C-JAN-22-042,7.49,4946,9.3,10,10
C-JAN-22-043,7.13,2157,9.1,10,10
C-JAN-22-044,7.5,4573,9.3,10,10
C-JAN-22-045,7.12,3326,9.1,10,10
C-JAN-22-046,7.61,4131,9.4,10,10
C-JAN-22-047,7.39,4675,9.3,10,10
C-JAN-22-048,7.42,2766,9.3,10,10
C-JAN-22-049,7.04,3054,9.1,10,10
C-JAN-22-050,7.41,3437,9.3,10,10
C-JAN-22-051,6.67,1867,8.9,10,9.6
C-JAN-22-052,7.13,3526,9.1,10,10
C-NAR-31-001,8.05,7836,8.2,9.4,9.6
C-NAR-31-002,7.74,6906,8.1,9.3,9.4
C-NAR-31-003,8.21,7675,8.3,9.5,10
C-NAR-31-004,7.54,17130,8,8.7,9.1
C-NAR-31-005,8.19,3351,8.3,9.9,9.4
C-NAR-31-006,8.14,6717,8.3,9.5,9.4
C-NAR-31-007,8.16,4169,8.3,9.7,9.8
C-NAR-31-008,8.16,5440,8.3,9.6,9.6
C-NAR-31-009,8.08,2085,8.2,10,9.8
C-NAR-31-010,8.19,5029,8.3,9.7,9.7
C-NAR-31-011,7.15,14274,7.8,8.6,9.2
C-NAR-31-012,8.15,8439,8.3,9.4,9.5
C-NAR-31-013,8.17,4021,8.3,9.8,9.7
C-NAR-31-014,7.33,5945,7.9,9.2,8.8
C-NAR-31-015,8.12,4524,8.3,9.7,9.7
C-NAR-31-016,8.08,16776,8.2,9,9
C-NAR-31-017,8.15,5345,8.3,9.6,9.4
C-NAR-31-018,7.23,18415,7.8,8.5,8.7
C-NAR-31-019,7.43,13099,7.9,8.8,9.4
C-NAR-31-020,7.65,84671,8,8,9.3
C-NAR-31-021,7.46,6615,7.9,9.2,9.4
C-NAR-31-022,8.16,2497,8.3,10,9.6
C-NAR-31-023,8.14,4723,8.3,9.7,9.7
C-NAR-31-024,8.14,7840,8.3,9.4,9.3
C-NAR-31-025,8.19,3389,8.3,9.9,9.6
C-NAR-31-026,8.18,1279,8.3,10,9.9
C-NAR-31-027,8.16,2969,8.3,9.9,9.9
C-NAR-31-028,7.67,12806,8,8.9,9.2
C-NAR-31-029,7.75,19984,8.1,8.8,8.7
C-NAR-31-030,8.16,2762,8.3,10,10
C-NAR-31-031,8.27,3071,8.3,10,10
C-NAR-31-032,8.15,8816,8.3,9.4,9.2
C-NAR-31-033,8.09,4259,8.2,9.7,9.7
C-NAR-31-034,7.29,17086,7.8,8.6,9.3
C-NAR-31-035,8.23,5603,8.3,9.6,10
C-NAR-31-036,7.64,10368,8,9,8.9
C-NAR-31-037,8.07,6572,8.2,9.5,9.5
C-NAR-31-038,7.88,8391,8.1,9.3,9.3
C-NAR-31-039,8.08,5896,8.2,9.5,9.6
C-NAR-31-040,7.64,20747,8,8.7,8.7
C-NAR-31-041,8.15,3245,8.3,9.9,9.8
C-NAR-31-042,7.91,3525,8.2,9.7,9.7
C-NAR-31-043,8.06,4270,8.2,9.7,9.3
C-NAR-31-044,7.97,7041,8.2,9.4,9.6
C-NAR-32-001,6.68,3785,6.1,7.8,8.9
C-NAR-32-002,6.57,7186,6,7.4,8.5
C-NAR-32-003,6.48,10832,6,7.1,8.4
C-NAR-32-004,6.62,4949,6.1,7.6,8.9
C-NAR-32-005,6.83,5837,6.2,7.6,8.7
C-NAR-32-006,6.9,2414,6.2,8.1,8.8
C-NAR-32-007,6.51,5098,6,7.5,8.6
C-NAR-32-008,6.45,2998,6,7.7,8.8
C-NAR-32-009,6.89,8305,6.2,7.5,8.3
C-NAR-32-010,6.61,7733,6,7.4,8.3
C-NAR-32-011,6.63,5453,6.1,7.5,8.5
C-NAR-32-012,6.89,6388,6.2,7.6,8.7
C-NAR-32-013,6.7,4877,6.1,7.6,8.8
C-NAR-32-014,6.68,3436,6.1,7.8,9
C-NAR-32-015,6.84,4173,6.2,7.8,8.7
C-NAR-32-016,7.22,11948,6.4,7.4,7.8
C-NAR-32-017,6.8,4013,6.2,7.8,8.7
C-NAR-32-018,6.56,4153,6,7.6,8.8
C-NAR-32-019,7.2,26163,6.4,7,7.4
C-NAR-32-020,6.74,6926,6.1,7.5,8.8
C-NAR-32-021,6.85,9067,6.2,7.4,8.6
C-NAR-32-022,6.79,2843,6.2,8,9
C-NAR-32-023,6.77,3896,6.1,7.8,8.9
C-NAR-32-024,7.09,15448,6.3,7.2,8.1
C-NAR-32-025,6.52,4340,6,7.6,8.6
C-NAR-32-026,6.62,4605,6.1,7.6,8.5
C-NAR-32-027,6.91,4205,6.2,7.8,8.8
C-NAR-32-028,6.85,901,6.2,8.6,8.4
C-NAR-32-029,6.92,7766,6.2,7.5,8.4
C-NAR-32-030,6.85,6523,6.2,7.6,8.5
C-NAR-32-031,6.67,3346,6.1,7.8,8.7
C-NAR-32-032,6.85,4708,6.2,7.7,9
C-NAR-32-033,6.6,34937,6,6.6,7.9
C-NAR-32-034,6.83,4719,6.2,7.7,9.1
C-NAR-32-035,6.99,4174,6.3,7.9,8.7
C-NAR-32-036,6.63,4623,6.1,7.6,9
C-NAR-32-037,6.9,5296,6.2,7.7,8.7
C-NAR-32-038,6.73,6567,6.1,7.5,8.6
C-NAR-32-039,6.73,4526,6.1,7.7,8.6
C-NAR-32-040,6.57,8891,6,7.3,8.4
C-NAR-32-041,6.8,5692,6.2,7.6,8.8
C-NAR-32-042,6.74,4225,6.1,7.7,8.8
C-NAR-32-043,6.62,7015,6.1,7.4,8.6
C-NAR-32-044,6.68,6173,6.1,7.5,8.7
C-NAR-32-045,6.51,8361,6,7.3,8.5
C-NAR-32-046,7.26,5787,6.4,7.8,8
C-NAR-32-047,7.19,10023,6.4,7.5,7.9
C-NAR-32-048,6.79,7563,6.2,7.5,8.3
C-NAR-32-049,6.75,7547,6.1,7.4,8.6
C-NAR-32-050,6.84,9960,6.2,7.3,8.9
C-NAR-32-051,6.77,3046,6.1,7.9,8.8
C-NAR-32-052,6.93,11346,6.2,7.3,8
C-NAR-32-053,6.95,6922,6.2,7.6,8.8
C-NAR-32-054,6.54,3560,6,7.7,8.6
C-NAR-32-055,6.62,4837,6.1,7.6,8.9
C-NAR-32-056,6.8,7609,6.2,7.5,8.8
C-NAR-32-057,6.86,8347,6.2,7.4,8.7
C-NAR-32-058,6.85,2870,6.2,8,9.1
C-NAR-32-059,6.76,5407,6.1,7.6,8.6
C-NAR-32-060,6.92,6750,6.2,7.6,8.6
C-NAR-32-061,6.48,6013,6,7.4,8.6
C-NAR-32-062,6.67,4323,6.1,7.7,8.9
C-NAR-32-063,6.75,3898,6.1,7.8,8.7
C-NAR-32-064,6.56,4314,6,7.6,9
C-NAR-32-065,6.58,7891,6,7.3,8.5
C-NAR-32-066,6.65,5204,6.1,7.6,8.8
C-NAR-32-067,6.73,8052,6.1,7.4,8.4
C-NAR-32-068,6.69,6972,6.1,7.4,8.4
C-NAR-32-069,7.27,9613,6.4,7.6,7.9
C-NAR-32-070,6.86,6396,6.2,7.6,8.6
C-NAR-32-071,6.86,4916,6.2,7.7,8.7
C-NAR-32-072,6.71,8197,6.1,7.4,8.4
C-NAR-32-073,6.59,6300,6,7.4,8.8
C-NAR-32-074,6.76,7008,6.1,7.5,8.4
C-NAR-32-075,6.84,6913,6.2,7.5,8.8
C-NAR-32-076,6.97,9152,6.3,7.5,8.4
C-NAR-32-077,6.77,7264,6.1,7.5,8.6
C-NAR-32-078,6.94,5928,6.2,7.7,8.6
C-NAR-32-079,6.6,4421,6,7.6,8.5
C-NAR-32-080,6.6,17889,6,6.9,8.3
C-NAR-32-081,6.63,5803,6.1,7.5,8.9
C-NAR-32-082,7.01,6377,6.3,7.7,8.6
C-NAR-32-083,6.56,5233,6,7.5,8.8
C-NAR-32-084,7.25,11044,6.4,7.5,7.7
C-NAR-32-085,6.79,4804,6.2,7.7,8.7
C-NAR-32-086,6.95,12470,6.2,7.3,8.4
C-NAR-32-087,6.98,7926,6.3,7.5,8.5
C-NAR-32-088,6.95,6175,6.2,7.6,8.8
C-NAR-32-089,6.85,7409,6.2,7.5,8.4
C-NAR-32-090,7.1,15048,6.3,7.3,8.3
C-NAR-32-091,6.62,10190,6.1,7.2,8.4
C-NAR-32-092,6.63,7450,6.1,7.4,8.7
C-NAR-32-093,6.7,5993,6.1,7.5,8.5
C-NAR-32-094,6.81,7401,6.2,7.5,8.5
C-NAR-32-095,7,9451,6.3,7.5,8.5
C-NAR-32-096,6.67,5586,6.1,7.6,8.5
C-NAR-32-097,6.76,5947,6.1,7.6,8.4
C-NAR-33-001,6.68,3738,6.4,8.1,8.9
C-NAR-33-002,6.84,6709,6.5,7.9,7.6
C-NAR-33-003,6.57,9133,6.4,7.6,8.9
C-NAR-33-004,6.86,5258,6.5,8,8.8
C-NAR-33-005,6.67,3459,6.4,8.1,9
C-NAR-33-006,6.86,4860,6.5,8,9.2
C-NAR-33-007,6.58,7107,6.4,7.7,8.5
C-NAR-33-008,6.58,3491,6.4,8.1,8.8
C-NAR-33-009,6.67,4965,6.4,7.9,9.3
C-NAR-33-010,6.63,7126,6.4,7.7,8.7
C-NAR-33-011,6.66,4678,6.4,8,9.1
C-NAR-33-012,6.73,5999,6.5,7.9,8.8
C-NAR-33-013,6.59,5145,6.4,7.9,9.2
C-NAR-33-014,6.68,11637,6.4,7.5,8.8
C-NAR-33-015,6.57,6832,6.4,7.7,8.9
C-NAR-33-016,6.6,3776,6.4,8,9
C-NAR-33-017,6.46,4997,6.3,7.8,8.8
C-NAR-33-018,6.57,5108,6.4,7.9,8.7
C-NAR-33-019,6.63,5350,6.4,7.9,8.7
C-NAR-33-020,6.63,6724,6.4,7.7,8.9
C-NAR-33-021,7.27,5303,6.8,8.2,8.1
C-NAR-33-022,6.72,6448,6.5,7.8,8.9
C-NAR-33-023,6.82,6824,6.5,7.8,8.8
C-NAR-33-024,6.59,6321,6.4,7.8,9
C-NAR-33-025,6.55,4320,6.4,7.9,9.4
C-NAR-33-026,6.81,5221,6.5,8,8.9
C-NAR-33-027,6.73,5651,6.5,7.9,9
C-NAR-33-028,6.76,7175,6.5,7.8,8.9
C-NAR-33-029,6.58,5660,6.4,7.8,8.9
C-NAR-33-030,6.71,7161,6.4,7.8,8.7
C-NAR-33-031,6.6,4716,6.4,7.9,9.4
C-NAR-33-032,6.6,5357,6.4,7.9,8.9
C-NAR-33-033,6.75,4822,6.5,8,9
C-NAR-33-034,6.8,21470,6.5,7.2,8.1
C-NAR-33-035,6.82,8890,6.5,7.7,8.5
C-NAR-33-036,6.75,3193,6.5,8.2,9.3
C-NAR-33-037,6.7,6355,6.4,7.8,9.3
C-NAR-33-038,6.61,5070,6.4,7.9,9.1
C-NAR-33-039,6.84,9710,6.5,7.7,8.2
C-NAR-33-040,6.61,5158,6.4,7.9,8.8
C-NAR-33-041,6.59,5458,6.4,7.8,8.9
