p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-BAG-24-054,8.01,3470,9,10,10
C-BAG-24-055,8.26,3409,9.1,10,10
C-BAG-24-056,7.75,2669,8.9,10,10
C-BAG-24-057,7.98,3737,9,10,10
C-BAG-24-058,7.99,4458,9,10,10
C-BAG-24-059,8.01,4721,9,10,10
C-BAG-24-060,8.19,2693,9.1,10,10
C-BAG-24-061,7.66,2237,8.8,10,10
C-BAG-24-062,7.98,7198,9,10,10
C-BAG-24-063,8.18,6121,9.1,10,10
C-BAG-24-064,7.8,4417,8.9,10,10
C-BAG-24-065,8.15,27358,9.1,9.5,10
C-BAG-24-066,7.97,12339,9,9.9,10
C-BAG-24-067,8.01,4009,9,10,10
C-BAG-24-068,7.77,3176,8.9,10,10
C-BAG-24-069,7.84,2945,8.9,10,10
C-BAG-24-070,7.97,1988,9,10,10
C-BAG-24-071,7.95,4315,9,10,10
C-BAG-24-072,8.03,4302,9,10,10
C-BAG-24-073,8.19,2646,9.1,10,10
C-BAG-24-074,7.71,1763,8.9,10,10
C-BAG-24-075,8.24,1721,9.1,10,10
C-BAG-24-076,8.23,3372,9.1,10,10
C-BAG-24-077,7.75,1509,8.9,10,10
C-BAG-24-078,7.79,3246,8.9,10,10
C-BAG-24-079,8.1,2368,9.1,10,10
C-BAG-24-080,7.79,1071,8.9,10,10
C-BAG-24-081,7.83,5316,8.9,10,10
C-BAG-24-082,7.98,2657,9,10,10
C-BAG-24-083,8.03,3711,9,10,10
C-BAG-24-084,8.07,3819,9,10,10
C-BAG-24-085,7.73,1731,8.9,10,10
C-BAG-24-086,7.96,2878,9,10,10
C-BAG-24-087,7.96,1754,9,10,10
C-BAG-24-088,7.81,2476,8.9,10,10
C-BAG-24-089,7.97,4907,9,10,10
C-BAG-24-090,8.16,6953,9.1,10,10
C-BAG-25-001,8.19,1411,9.1,10,10
C-BAG-25-002,8.08,3576,9,10,10
C-BAG-25-003,8.14,2210,9,10,10
C-BAG-25-004,8.19,2057,9.1,10,10
C-BAG-25-005,7.79,4484,8.9,10,10
C-BAG-25-006,8.17,1697,9.1,10,10
C-BAG-25-007,7.77,5966,8.9,10,10
C-BAG-25-008,8.06,1071,9,10,10
C-BAG-25-009,8.05,16420,9,9.7,10
C-BAG-25-010,7.96,4753,9,10,10
C-BAG-25-011,8.12,1884,9,10,10
C-BAG-25-012,8.07,1167,9,10,10
C-BAG-25-013,8.05,2883,9,10,10
C-BAG-25-014,7.8,12678,8.9,9.7,10
C-BAG-25-015,8.12,1510,9,10,10
C-BAG-25-016,7.94,2669,8.9,10,10
C-BAG-25-017,8.2,2299,9.1,10,10
C-BAG-25-018,7.75,4914,8.8,10,10
C-BAG-25-019,8.09,7558,9,10,10
C-BAG-25-020,8.06,1855,9,10,10
C-BAG-25-021,7.81,10736,8.9,9.8,10
C-BAG-25-022,8.15,1878,9,10,10
C-BAG-25-023,7.91,27327,8.9,9.4,10
C-BAG-25-024,7.85,4286,8.9,10,10
C-BAG-25-025,8.05,1404,9,10,10
C-BAG-25-026,7.6,4927,8.8,10,10
C-BAG-25-027,7.87,220802,8.9,8.3,10
C-BAG-25-028,7.94,8188,8.9,10,10
C-BAG-25-029,8.14,8411,9,10,10
C-BAG-25-030,7.79,10374,8.9,9.8,10
C-BAG-25-031,8.18,1838,9.1,10,10
C-BAG-25-032,8.1,1947,9,10,10
C-BAG-25-033,8.13,2171,9,10,10
C-BAG-25-034,8.28,2056,9.1,10,10
C-BAG-25-035,7.74,19721,8.8,9.5,10
C-BAG-25-036,8.14,2277,9,10,10
C-BAG-25-037,7.84,6147,8.9,10,10
C-BAG-25-038,7.71,10092,8.8,9.8,10
C-BAG-25-039,7.8,8261,8.9,9.9,10
C-BAG-25-040,7.79,10086,8.9,9.8,10
C-BAG-25-041,8.15,1479,9,10,10
C-BAG-25-042,7.95,10136,8.9,9.9,10
C-BAG-26-001,8.09,5385,9,10,10
C-BAG-26-002,8.01,15881,9,9.7,10
C-BAG-26-003,7.89,81748,8.9,8.8,10
C-BAG-26-004,7.78,6211,8.8,10,10
C-BAG-26-005,8.02,8129,9,10,10
C-BAG-26-006,7.89,5619,8.9,10,10
C-BAG-26-007,7.93,11629,8.9,9.8,10
C-BAG-26-008,7.84,10461,8.9,9.8,10
C-BAG-26-009,7.73,5689,8.8,10,10
C-BAG-26-010,7.82,7721,8.9,10,10
C-BAG-26-011,7.87,19497,8.9,9.5,10
C-BAG-26-012,8.02,83036,9,8.8,10
C-BAG-26-013,7.86,4571,8.9,10,10
C-BAG-26-014,7.97,5509,8.9,10,10
C-BAG-26-015,7.83,9876,8.9,9.9,10
C-BAG-26-016,7.88,4790,8.9,10,10
C-BAG-26-017,8.08,7254,9,10,10
C-BAG-26-018,8.05,5698,9,10,10
C-BAG-27-001,7.76,3159,10,10,10
C-BAG-27-002,7.79,3779,10,10,10
C-BAG-27-003,7.75,4333,10,10,10
C-BAG-27-004,7.59,7323,9.9,10,10
C-BAG-27-005,7.68,5467,9.9,10,10
C-BAG-27-006,7.79,2388,10,10,10
C-BAG-27-007,7.66,2915,9.9,10,10
C-BAG-27-008,7.79,15421,10,10,10
C-BAG-27-009,7.55,4365,9.9,10,10
C-BAG-27-010,7.69,10827,10,10,10
